epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2384.34,0.90519,0.74474,0.00412,0.65845,0.76304,0.68398,0.55715,0.62843,1.49046,0.0099,0.00098525,0.00098525,0.00098525
43,2438.84,0.89323,0.74273,0.00409,0.63177,0.75781,0.68963,0.55817,0.68036,1.90842,0.01083,0.0009605,0.0009605,0.0009605
44,2496.51,0.88425,0.72618,0.00404,0.65984,0.74952,0.70121,0.54535,0.81567,1.26276,0.01311,0.00093575,0.00093575,0.00093575
45,2552.08,0.87678,0.72331,0.00389,0.69287,0.73762,0.70054,0.55883,0.78593,1.61801,0.0128,0.000911,0.000911,0.000911
46,2607.67,0.87357,0.73143,0.00395,0.68648,0.78585,0.74124,0.58034,0.80018,1.40012,0.01277,0.00088625,0.00088625,0.00088625
47,2661.93,0.87628,0.72467,0.00386,0.63534,0.76954,0.72786,0.59155,0.7647,1.66043,0.01236,0.0008615,0.0008615,0.0008615
48,2721.33,0.86942,0.71624,0.00391,0.74001,0.73231,0.75408,0.61278,0.71537,1.38486,0.01164,0.00083675,0.00083675,0.00083675
49,2776.57,0.86287,0.70784,0.00382,0.71553,0.70554,0.71126,0.58574,0.69412,1.48237,0.01128,0.000812,0.000812,0.000812
50,2832.92,0.86393,0.71479,0.0038,0.66928,0.68834,0.67686,0.55763,0.67616,1.25959,0.01096,0.00078725,0.00078725,0.00078725
51,2891.58,0.85055,0.69366,0.00381,0.70431,0.76482,0.75556,0.62942,0.62435,1.22992,0.01045,0.0007625,0.0007625,0.0007625
52,2944.46,0.86364,0.69745,0.00382,0.70054,0.78776,0.74835,0.61038,0.69842,1.30043,0.01108,0.00073775,0.00073775,0.00073775
53,3001.14,0.84045,0.6926,0.00374,0.69777,0.72658,0.72389,0.56479,0.7571,1.40676,0.012,0.000713,0.000713,0.000713
54,3055.55,0.85361,0.6921,0.0038,0.73332,0.76482,0.74325,0.59804,0.69365,1.37682,0.01138,0.00068825,0.00068825,0.00068825
55,3112.9,0.85456,0.69289,0.00374,0.68538,0.76482,0.73658,0.5853,0.71819,1.84402,0.0122,0.0006635,0.0006635,0.0006635
56,3168.64,0.8342,0.67821,0.00366,0.71609,0.75232,0.74403,0.56941,0.84054,1.29129,0.01361,0.00063875,0.00063875,0.00063875
57,3225.16,0.82655,0.6667,0.00362,0.73044,0.7304,0.73828,0.60304,0.71306,1.25724,0.01171,0.000614,0.000614,0.000614
58,3278.92,0.82894,0.6852,0.00365,0.70001,0.72467,0.7284,0.57867,0.76079,1.27071,0.01236,0.00058925,0.00058925,0.00058925
59,3336.64,0.83117,0.66783,0.00357,0.68851,0.69734,0.70261,0.56342,0.72945,1.30012,0.01161,0.0005645,0.0005645,0.0005645
60,3391,0.82031,0.6767,0.00363,0.70731,0.75335,0.71547,0.58009,0.68791,1.27168,0.0113,0.00053975,0.00053975,0.00053975
61,3449.89,0.80912,0.66892,0.00357,0.7094,0.7188,0.71574,0.57218,0.72325,1.21067,0.012,0.000515,0.000515,0.000515
62,3505.67,0.81842,0.66313,0.00361,0.71081,0.70966,0.72909,0.59132,0.66163,1.31191,0.01097,0.00049025,0.00049025,0.00049025
63,3562.87,0.80946,0.658,0.00351,0.64797,0.65461,0.64605,0.50986,0.7357,1.35801,0.01147,0.0004655,0.0004655,0.0004655
64,3619.26,0.8101,0.65809,0.00355,0.6617,0.71702,0.70741,0.56155,0.73035,1.38589,0.01211,0.00044075,0.00044075,0.00044075
65,3676.24,0.79371,0.64208,0.00347,0.73143,0.73231,0.72951,0.59334,0.66529,1.61386,0.01098,0.000416,0.000416,0.000416
66,3731.25,0.80169,0.64431,0.00338,0.6967,0.75542,0.72976,0.59106,0.71281,1.40024,0.01152,0.00039125,0.00039125,0.00039125
67,3787.62,0.79699,0.64967,0.00343,0.73334,0.73996,0.71714,0.5908,0.68768,1.30004,0.01118,0.0003665,0.0003665,0.0003665
68,3843.31,0.79392,0.64556,0.00344,0.7111,0.72084,0.70172,0.57149,0.7322,1.34057,0.01187,0.00034175,0.00034175,0.00034175
69,3900.94,0.79513,0.64437,0.00336,0.69766,0.69981,0.6958,0.55598,0.73862,1.51715,0.01205,0.000317,0.000317,0.000317
70,3954.72,0.77621,0.63931,0.00333,0.71739,0.70937,0.7181,0.58005,0.72104,1.55016,0.01162,0.00029225,0.00029225,0.00029225
